"X.1","Area","Mean","Min","Max","X","Y","distance_cm","cond","day","min"
33,0,90,90,90,1969.333,1139,4.96480646677552,"ctl","2",1
34,0,85,85,85,1916,1091,5.25461382415516,"ctl","2",1
35,0,88,88,88,2001.333,1077.667,4.78757625797833,"ctl","2",1
36,0,68,68,68,2020,925.667,4.67987730691208,"ctl","2",1
37,0,84,84,84,1984,920.333,4.87650288209391,"ctl","2",1
38,0,82,82,82,1889.333,928.333,5.39437451140468,"ctl","2",1
39,0,78,78,78,1830.667,925.667,5.71502136212953,"ctl","2",1
40,0,86,86,86,1773.333,983,6.03061221611993,"ctl","2",1
41,0,99,99,99,1793.333,1023,5.92275016080352,"ctl","2",1
42,0,136,136,136,1841.333,1065.667,5.6619021201326,"ctl","2",1
43,0,68,68,68,1752,1179,6.15451981594181,"ctl","2",1
44,0,125,125,125,1709.333,985.667,6.38061965019049,"ctl","2",1
45,0,113,113,113,1684,920.333,6.51669881500173,"ctl","2",1
46,0,157,157,157,1554.667,1095,7.23028531492751,"ctl","2",1
47,0,128,128,128,1249.333,1047.333,8.89787508040176,"ctl","2",1
48,0,93,93,93,1990.667,1006,4.84323123546584,"ctl","2",1
49,0,84,84,84,2569.667,1120.333,1.68189581168671,"ctl","2",1
50,0,90,90,90,2624.333,1101.667,1.38232664143288,"ctl","2",1
3,0,83,83,83,2605,1210,1.4463048990512,"ctl","2",15
4,0,75,75,75,2555,972,1.72460159594637,"ctl","2",15
5,0,82,82,82,2637,942,1.27852335771526,"ctl","2",15
6,0,111,111,111,2349,996,2.84649936132489,"ctl","2",15
7,0,108,108,108,2345,1129,2.86502708279051,"ctl","2",15
8,0,61,61,61,2163,1130,3.85671477383699,"ctl","2",15
9,0,114,114,114,2245,986,3.41343780914312,"ctl","2",15
10,0,95,95,95,2222,929,3.54016472098477,"ctl","2",15
11,0,69,69,69,2081,1019,4.30625774512732,"ctl","2",15
12,0,111,111,111,2002,1128,4.73404784449797,"ctl","2",15
13,0,79,79,79,1897,1041,5.30832734906402,"ctl","2",15
14,0,127,127,127,1679,1243,6.49123881788968,"ctl","2",15
15,0,138,138,138,1634,921,6.74435476866827,"ctl","2",15
16,0,91,91,91,1788,845,5.90708113821862,"ctl","2",15
17,0,146,146,146,1442,997,7.7886892014125,"ctl","2",15
18,0,109,109,109,1397,1001,8.03379449277757,"ctl","2",15
19,0,164,164,164,1203,954,9.0920492891959,"ctl","2",15
20,0,171,171,171,1130,986,9.48903766594432,"ctl","2",15
21,0,122,122,122,1150,1014,9.37937026421873,"ctl","2",15
22,0,114,114,114,1112,1064,9.5852024377689,"ctl","2",15
23,0,107,107,107,1084,1223,9.7338665158419,"ctl","2",15
24,0,163,163,163,1084,913,9.74148401405721,"ctl","2",15
25,0,117,117,117,973,1056,10.3428056372876,"ctl","2",15
26,0,91,91,91,946,1021,10.4907878264075,"ctl","2",15
27,0,148,148,148,917,1082,10.6473089853009,"ctl","2",15
28,0,140,140,140,891,1117,10.7881221256972,"ctl","2",15
29,0,130,130,130,895,1172,10.7649747601526,"ctl","2",15
30,0,166,166,166,814,1205,11.2055303121776,"ctl","2",15
31,0,131,131,131,757,1207,11.5160723704697,"ctl","2",15
32,0,132,132,132,791,1138,11.3325029497681,"ctl","2",15
33,0,122,122,122,824,1062,11.1545545055723,"ctl","2",15
34,0,130,130,130,864,1077,10.9362271776915,"ctl","2",15
35,0,157,157,157,747,1144,11.572110127502,"ctl","2",15
36,0,130,130,130,690,1164,11.8822098794461,"ctl","2",15
37,0,152,152,152,647,1214,12.1152868954034,"ctl","2",15
38,0,119,119,119,662,1174,12.0345352711774,"ctl","2",15
39,0,135,135,135,647,1112,12.117793298042,"ctl","2",15
40,0,150,150,150,650,1070,12.102478440743,"ctl","2",15
41,0,141,141,141,704,1057,11.808553586219,"ctl","2",15
42,0,125,125,125,689,922,11.8936054110505,"ctl","2",15
43,0,140,140,140,587,1053,12.4461811888466,"ctl","2",15
44,0,127,127,127,569,1068,12.5438940328891,"ctl","2",15
45,0,146,146,146,540,1063,12.7020369817252,"ctl","2",15
46,0,135,135,135,533,1163,12.7377225036064,"ctl","2",15
47,0,157,157,157,530,1197,12.7532339415046,"ctl","2",15
48,0,151,151,151,521,1181,12.8026678190357,"ctl","2",15
49,0,177,177,177,483,1199,13.0092863149823,"ctl","2",15
50,0,139,139,139,479,1161,13.0320159467538,"ctl","2",15
51,0,148,148,148,480,1093,13.0282379133647,"ctl","2",15
52,0,157,157,157,495,1058,12.9473634262643,"ctl","2",15
53,0,180,180,180,456,1108,13.1586445682959,"ctl","2",15
54,0,170,170,170,456,1049,13.1600943502143,"ctl","2",15
55,0,175,175,175,486,1016,12.9974361907425,"ctl","2",15
56,0,168,168,168,453,961,13.1786036422487,"ctl","2",15
57,0,156,156,156,712,970,11.7670996523828,"ctl","2",15
3,0,101,101,101,2629,1150,1.33955505279035,"ctl","2",30
4,0,98,98,98,2534.333,1188.667,1.85715365761689,"ctl","2",30
5,0,75,75,75,2518.333,1072.667,1.94463480392157,"ctl","2",30
6,0,70,70,70,2341,992.667,2.91421568627451,"ctl","2",30
7,0,110,110,110,2213,988.667,3.61406485671192,"ctl","2",30
8,0,119,119,119,2175.667,1132.667,3.81818570889894,"ctl","2",30
9,0,84,84,84,2205,1174,3.65780542986425,"ctl","2",30
10,0,78,78,78,1695.333,1213.667,6.44444626696832,"ctl","2",30
11,0,72,72,72,1627.333,1224.333,6.8162411387632,"ctl","2",30
12,0,143,143,143,1658,1201.667,6.64856711915535,"ctl","2",30
13,0,78,78,78,1590,1053.667,7.02036199095023,"ctl","2",30
14,0,153,153,153,1635.333,1012.333,6.77250056561086,"ctl","2",30
15,0,115,115,115,1352.667,957.667,8.3179971719457,"ctl","2",30
16,0,165,165,165,1194,1057.667,9.18552036199095,"ctl","2",30
17,0,165,165,165,1166,1201.667,9.33861236802413,"ctl","2",30
18,0,153,153,153,1122,1197.667,9.57918552036199,"ctl","2",30
19,0,108,108,108,1031.333,1025.667,10.0749138386124,"ctl","2",30
20,0,118,118,118,968.667,1060.333,10.4175446832579,"ctl","2",30
21,0,150,150,150,948.667,1060.333,10.5268961161388,"ctl","2",30
22,0,158,158,158,910,952.333,10.7383107088989,"ctl","2",30
23,0,127,127,127,827.333,956.333,11.190298453997,"ctl","2",30
24,0,152,152,152,846,1057.667,11.0882352941176,"ctl","2",30
25,0,112,112,112,703.333,1188.333,11.8682773378582,"ctl","2",30
26,0,150,150,150,710,1161.667,11.8318250377074,"ctl","2",30
27,0,112,112,112,739.333,1137.667,11.6714447586727,"ctl","2",30
28,0,131,131,131,750,1099,11.6131221719457,"ctl","2",30
29,0,122,122,122,731.333,1093.667,11.715185331825,"ctl","2",30
30,0,138,138,138,711.333,1079,11.8245367647059,"ctl","2",30
31,0,153,153,153,742,1013.667,11.656862745098,"ctl","2",30
32,0,132,132,132,691.333,1051,11.9338881975867,"ctl","2",30
33,0,138,138,138,623.333,1155,12.3056830693816,"ctl","2",30
34,0,146,146,146,620.667,1119,12.3202596153846,"ctl","2",30
35,0,111,111,111,595.333,1051,12.4587750754148,"ctl","2",30
36,0,137,137,137,630,1007,12.2692307692308,"ctl","2",30
37,0,148,148,148,607.333,985.667,12.3931642156863,"ctl","2",30
38,0,136,136,136,618,947,12.3348416289593,"ctl","2",30
39,0,96,96,96,658,931,12.1161387631976,"ctl","2",30
40,0,104,104,104,714,932.333,11.8099547511312,"ctl","2",30
41,0,172,172,172,452,1193.333,13.2424585218703,"ctl","2",30
42,0,158,158,158,466.667,1085.333,13.1622656485671,"ctl","2",30
43,0,211,211,211,330.667,1082.667,13.9058553921569,"ctl","2",30
44,0,175,175,175,516,1082.667,12.8925339366516,"ctl","2",30
45,0,139,139,139,452,1030.667,13.2424585218703,"ctl","2",30
46,0,179,179,179,476,1008,13.1112368024133,"ctl","2",30
47,0,170,170,170,512,977.333,12.9144042232278,"ctl","2",30
48,0,141,141,141,514.667,958.667,12.8998222096531,"ctl","2",30
49,0,158,158,158,556,950.667,12.6738310708899,"ctl","2",30
50,0,165,165,165,480,952,13.0893665158371,"ctl","2",30
51,0,115,115,115,464,933.333,13.1768476621418,"ctl","2",30
52,0,155,155,155,446.667,914.667,13.271617081448,"ctl","2",30
3,0,77,77,77,2589,1178,1.49797789103868,"ctl","2",5
4,0,78,78,78,2555,975,1.67778805220034,"ctl","2",5
5,0,69,69,69,2237,1209,3.42564175240323,"ctl","2",5
6,0,82,82,82,2335,1113,2.88625466089703,"ctl","2",5
7,0,85,85,85,2346,984,2.82204693002819,"ctl","2",5
8,0,48,48,48,2346,926,2.82024926233636,"ctl","2",5
9,0,99,99,99,2290,938,3.1271421316021,"ctl","2",5
10,0,101,101,101,2223,938,3.4938725395893,"ctl","2",5
11,0,106,106,106,2190,998,3.67636060572637,"ctl","2",5
12,0,50,50,50,2097,991,4.18518734647148,"ctl","2",5
13,0,138,138,138,2054,1043,4.4221633402333,"ctl","2",5
14,0,90,90,90,2018,1041,4.61915052613309,"ctl","2",5
15,0,90,90,90,1998,953,4.72589479390306,"ctl","2",5
16,0,86,86,86,2059,1076,4.39581821026684,"ctl","2",5
17,0,117,117,117,2082,1210,4.27407891440537,"ctl","2",5
18,0,99,99,99,1974,1272,4.86714808250205,"ctl","2",5
19,0,72,72,72,1957,1109,4.95514701544413,"ctl","2",5
20,0,127,127,127,1857,1058,5.50092512553748,"ctl","2",5
21,0,111,111,111,1852,985,5.52603048468199,"ctl","2",5
22,0,116,116,116,1802,920,5.79769526604199,"ctl","2",5
23,0,67,67,67,1716,973,6.27006654576764,"ctl","2",5
24,0,109,109,109,1744,1038,6.11882070434373,"ctl","2",5
25,0,163,163,163,1718,1069,6.26209481938249,"ctl","2",5
26,0,157,157,157,1682,1150,6.46165452973783,"ctl","2",5
27,0,79,79,79,1585,1158,6.99284053725682,"ctl","2",5
28,0,136,136,136,1660,1034,6.57847813429027,"ctl","2",5
29,0,141,141,141,1563,1029,7.10926121629213,"ctl","2",5
30,0,140,140,140,1602,1000,6.89489244346859,"ctl","2",5
31,0,94,94,94,1653,951,6.61422072708711,"ctl","2",5
32,0,117,117,117,1582,927,7.0021016252968,"ctl","2",5
33,0,101,101,101,1454,1017,7.70551039654711,"ctl","2",5
34,0,105,105,105,1388,1049,8.06775903301296,"ctl","2",5
35,0,88,88,88,1388,1032,8.06723213041363,"ctl","2",5
36,0,94,94,94,1410,951,7.94430265456308,"ctl","2",5
37,0,122,122,122,1417,1080,7.90998579821148,"ctl","2",5
38,0,84,84,84,1450,1120,7.73059715912929,"ctl","2",5
39,0,149,149,149,1434,1221,7.82130499131733,"ctl","2",5
40,0,97,97,97,1322,1176,8.43295212518094,"ctl","2",5
41,0,118,118,118,1244,1071,8.85663760472857,"ctl","2",5
42,0,137,137,137,1199,1003,9.10084146238236,"ctl","2",5
43,0,88,88,88,1288,930,8.611429532709,"ctl","2",5
44,0,164,164,164,1104,1017,9.62126625916682,"ctl","2",5
45,0,152,152,152,1104,1049,9.62225807582438,"ctl","2",5
46,0,146,146,146,1104,1065,9.62275398415317,"ctl","2",5
47,0,136,136,136,1060,1212,9.86814802179603,"ctl","2",5
48,0,153,153,153,923,1207,10.6178746309544,"ctl","2",5
49,0,141,141,141,700,1188,11.8378959037117,"ctl","2",5
50,0,167,167,167,461,1116,13.1438518909925,"ctl","2",5
51,0,171,171,171,501,1002,12.9213750169934,"ctl","2",5
52,0,131,131,131,932,1038,10.5633743056215,"ctl","2",5
53,0,126,126,126,984,1021,10.2782208177186,"ctl","2",5
3,0,60,60,60,2346,992,2.87987109080247,"ctl","2",60
